,Stamps
611,1597400495.7564921
612,1597400495.7903628
613,1597400495.8245447
614,1597400495.8590941
615,1597400495.8929937
616,1597400495.928199
617,1597400495.9622948
618,1597400495.9964678
619,1597400496.0319982
620,1597400496.066392
621,1597400496.1004841
622,1597400496.1344879
623,1597400496.1687016
624,1597400496.203594
625,1597400496.2377264
626,1597400496.2719998
627,1597400496.3059213
628,1597400496.3413222
629,1597400496.3754947
630,1597400496.4097097
631,1597400496.44405
632,1597400496.478096
633,1597400496.5122776
634,1597400496.5463672
635,1597400496.5809863
636,1597400496.6150615
637,1597400496.654837
638,1597400496.6841757
639,1597400496.72581
640,1597400496.7594435
641,1597400496.7948935
642,1597400496.8287365
643,1597400496.8632486
644,1597400496.9017088
645,1597400496.9319873
646,1597400496.966147
647,1597400496.9977593
648,1597400497.033173
649,1597400497.0668435
650,1597400497.1008642
651,1597400497.1355474
652,1597400497.3498416
653,1597400497.350155
654,1597400497.350367
655,1597400497.3505764
656,1597400497.350783
657,1597400497.3509903
658,1597400497.3749168
659,1597400497.4091725
660,1597400497.4446156
661,1597400497.4789438
662,1597400497.5136323
663,1597400497.547938
664,1597400497.582808
665,1597400497.6174476
666,1597400497.6522233
667,1597400497.6863482
668,1597400497.7206478
669,1597400497.7550225
670,1597400497.7910619
671,1597400497.8254955
672,1597400497.8598633
673,1597400497.8938756
674,1597400497.9281235
675,1597400497.962363
676,1597400497.9964848
677,1597400498.0308733
678,1597400498.0650241
679,1597400498.0991302
680,1597400498.1333957
681,1597400498.1673653
682,1597400498.2025292
683,1597400498.2368329
684,1597400498.2710006
685,1597400498.3061714
686,1597400498.3428185
687,1597400498.3774066
688,1597400498.4177334
689,1597400498.4540281
690,1597400498.4876895
691,1597400498.5172634
692,1597400498.5541387
693,1597400498.5864499
694,1597400498.6210523
695,1597400498.651217
696,1597400498.6850553
697,1597400498.7194855
698,1597400498.7540874
699,1597400498.7872605
700,1597400498.822536
701,1597400498.8567488
702,1597400499.05846
703,1597400499.0590098
704,1597400499.0593147
705,1597400499.0596821
706,1597400499.059995
707,1597400499.0622983
708,1597400499.096657
709,1597400499.1307647
710,1597400499.1654463
711,1597400499.1996524
712,1597400499.234103
713,1597400499.2687943
714,1597400499.3030741
715,1597400499.3393595
716,1597400499.371682
717,1597400499.4059386
718,1597400499.4404685
719,1597400499.4748876
720,1597400499.5090954
721,1597400499.5434098
722,1597400499.5774298
723,1597400499.611781
724,1597400499.6458936
725,1597400499.680185
726,1597400499.7149897
727,1597400499.7492206
728,1597400499.7832637
729,1597400499.8186762
730,1597400499.8529074
731,1597400499.8869846
732,1597400499.9224145
733,1597400499.9569929
734,1597400499.9913363
735,1597400500.025584
736,1597400500.06692
737,1597400500.1031306
738,1597400500.1346416
739,1597400500.1703756
740,1597400500.2025397
741,1597400500.23731
742,1597400500.2712839
743,1597400500.3047903
744,1597400500.3392425
745,1597400500.3715818
746,1597400500.4056168
747,1597400500.4415166
748,1597400500.4755352
749,1597400500.509383
750,1597400500.5443456
751,1597400500.5792973
752,1597400500.783628
753,1597400500.7838657
754,1597400500.7840395
755,1597400500.7841845
756,1597400500.7843506
757,1597400500.7850792
758,1597400500.8191762
759,1597400500.853546
760,1597400500.887799
761,1597400500.9219935
762,1597400500.9563694
763,1597400500.990784
764,1597400501.0264652
765,1597400501.0631099
766,1597400501.097172
767,1597400501.1316533
768,1597400501.1659386
769,1597400501.1998303
770,1597400501.2342157
771,1597400501.2683594
772,1597400501.3025143
773,1597400501.3365273
774,1597400501.3710747
775,1597400501.405116
776,1597400501.439169
777,1597400501.4735827
778,1597400501.5077193
779,1597400501.5417652
780,1597400501.5760186
781,1597400501.6102374
782,1597400501.6443353
783,1597400501.6783416
784,1597400501.713442
785,1597400501.74724
786,1597400501.7900102
787,1597400501.815776
788,1597400501.8591015
789,1597400501.8940983
790,1597400501.927134
791,1597400501.9590347
792,1597400501.9921644
793,1597400502.0266466
794,1597400502.0627563
795,1597400502.0927312
796,1597400502.1265328
797,1597400502.1602027
798,1597400502.1947563
799,1597400502.227829
800,1597400502.2626987
801,1597400502.4755695
802,1597400502.475916
803,1597400502.476165
804,1597400502.476432
805,1597400502.4767227
806,1597400502.4770198
807,1597400502.5006201
808,1597400502.535925
809,1597400502.5702512
810,1597400502.6047971
811,1597400502.6431074
812,1597400502.6731617
813,1597400502.7074947
814,1597400502.74167
815,1597400502.7759688
816,1597400502.8106647
817,1597400502.8446424
818,1597400502.8788822
819,1597400502.9129882
820,1597400502.947409
821,1597400502.981409
822,1597400503.0153549
823,1597400503.0499387
824,1597400503.0841908
825,1597400503.1181507
826,1597400503.1523242
827,1597400503.1864405
828,1597400503.2205713
829,1597400503.2545886
830,1597400503.2890577
831,1597400503.3230422
832,1597400503.3569274
833,1597400503.3910058
834,1597400503.4252543
835,1597400503.4602828
836,1597400503.4942873
837,1597400503.528312
838,1597400503.5626144
839,1597400503.6042652
